district,school_year,grade,category,subgroup,pct_prof_or_above,pct_advanced,pct_proficient_only,pct_partially_proficient,pct_not_proficient,n_tested,state_pct,state_n,isd_pct
Troy School District,2018-19,6,All Students,All Students,71.4,51.3,20.1,19.0,9.6,1028,35.1,109108,47.4
Troy School District,2018-19,6,Ethnicity,Asian,87.9,75.6,12.3,7.3,4.8,397,35.1,109108,47.4
Troy School District,2018-19,6,Ethnicity,Black or African American,32.5,12.5,20.0,40.0,27.5,40,35.1,109108,47.4
Troy School District,2018-19,6,Ethnicity,Hispanic of Any Race,32.3,19.4,12.9,41.9,25.8,31,35.1,109108,47.4
Troy School District,2018-19,6,Ethnicity,Two or More Races,75.0,53.1,21.9,,,32,35.1,109108,47.4
Troy School District,2018-19,6,Ethnicity,White,64.0,37.7,26.3,25.0,11.0,528,35.1,109108,47.4
Troy School District,2018-19,6,Econ Disadvantaged,Economically Disadvantaged,37.3,17.8,19.5,40.2,22.5,169,35.1,109108,47.4
Troy School District,2018-19,6,Econ Disadvantaged,Not Economically Disadvantaged,78.1,57.9,20.3,14.8,7.1,859,35.1,109108,47.4
Troy School District,2018-19,6,SPED,Students With Disabilities,26.6,11.4,15.2,22.8,50.6,79,35.1,109108,47.4
Troy School District,2018-19,6,SPED,Students Without Disabilities,75.1,54.6,20.5,18.7,6.2,949,35.1,109108,47.4
Troy School District,2018-19,7,All Students,All Students,67.5,49.9,17.6,19.9,12.6,1016,35.7,109072,45.9
Troy School District,2018-19,7,Ethnicity,Asian,87.1,76.8,10.3,10.6,2.3,341,35.7,109072,45.9
Troy School District,2018-19,7,Ethnicity,Black or African American,30.2,11.6,18.6,34.9,34.9,43,35.7,109072,45.9
Troy School District,2018-19,7,Ethnicity,Hispanic of Any Race,55.3,18.4,36.8,15.8,28.9,38,35.7,109072,45.9
Troy School District,2018-19,7,Ethnicity,Two or More Races,55.6,44.4,11.1,25.0,19.4,36,35.7,109072,45.9
Troy School District,2018-19,7,Ethnicity,White,59.9,38.7,21.2,24.5,15.6,556,35.7,109072,45.9
Troy School District,2018-19,7,Econ Disadvantaged,Economically Disadvantaged,42.6,22.6,20.0,25.8,31.6,155,35.7,109072,45.9
Troy School District,2018-19,7,Econ Disadvantaged,Not Economically Disadvantaged,72.0,54.8,17.2,18.8,9.2,861,35.7,109072,45.9
Troy School District,2018-19,7,SPED,Students With Disabilities,23.9,15.9,8.0,21.6,54.5,88,35.7,109072,45.9
Troy School District,2018-19,7,SPED,Students Without Disabilities,71.7,53.1,18.5,19.7,8.6,928,35.7,109072,45.9
Troy School District,2022-23,6,All Students,All Students,63.2,41.0,22.2,23.2,13.5,960,29.6,99287,38.6
Troy School District,2022-23,6,Ethnicity,Asian,83.2,63.5,19.7,13.8,3.0,370,29.6,99287,38.6
Troy School District,2022-23,6,Ethnicity,Black or African American,21.1,,,21.1,57.9,57,29.6,99287,38.6
Troy School District,2022-23,6,Ethnicity,Hispanic of Any Race,40.0,20.0,20.0,34.0,26.0,50,29.6,99287,38.6
Troy School District,2022-23,6,Ethnicity,Two or More Races,51.3,28.2,23.1,35.9,12.8,39,29.6,99287,38.6
Troy School District,2022-23,6,Ethnicity,White,55.2,29.3,25.9,29.3,15.5,440,29.6,99287,38.6
Troy School District,2022-23,6,Econ Disadvantaged,Economically Disadvantaged,33.1,17.2,15.9,35.1,31.8,151,29.6,99287,38.6
Troy School District,2022-23,6,Econ Disadvantaged,Not Economically Disadvantaged,68.9,45.5,23.4,21.0,10.1,809,29.6,99287,38.6
Troy School District,2022-23,6,SPED,Students With Disabilities,22.6,8.1,14.5,22.6,54.8,62,29.6,99287,38.6
Troy School District,2022-23,6,SPED,Students Without Disabilities,66.0,43.3,22.7,23.3,10.7,898,29.6,99287,38.6
Troy School District,2022-23,7,All Students,All Students,61.3,42.9,18.4,21.3,17.4,940,31.0,98379,39.7
Troy School District,2022-23,7,Ethnicity,Asian,82.4,64.6,17.9,10.7,6.9,364,31.0,98379,39.7
Troy School District,2022-23,7,Ethnicity,Black or African American,16.3,,,32.6,51.2,43,31.0,98379,39.7
Troy School District,2022-23,7,Ethnicity,Hispanic of Any Race,44.4,24.1,20.4,22.2,33.3,54,31.0,98379,39.7
Troy School District,2022-23,7,Ethnicity,Two or More Races,55.8,34.9,20.9,25.6,18.6,43,31.0,98379,39.7
Troy School District,2022-23,7,Ethnicity,White,50.6,31.1,19.5,28.5,20.9,431,31.0,98379,39.7
Troy School District,2022-23,7,Econ Disadvantaged,Economically Disadvantaged,29.2,16.0,13.2,28.5,42.4,144,31.0,98379,39.7
Troy School District,2022-23,7,Econ Disadvantaged,Not Economically Disadvantaged,67.1,47.7,19.3,20.0,12.9,796,31.0,98379,39.7
Troy School District,2022-23,7,SPED,Students With Disabilities,11.1,,,20.8,68.1,72,31.0,98379,39.7
Troy School District,2022-23,7,SPED,Students Without Disabilities,65.4,46.1,19.4,21.3,13.2,868,31.0,98379,39.7
Troy School District,2023-24,6,All Students,All Students,66.3,42.7,23.6,19.9,13.8,970,31.0,99125,40.6
Troy School District,2023-24,6,Ethnicity,Asian,84.4,64.8,19.6,9.8,5.8,398,31.0,99125,40.6
Troy School District,2023-24,6,Ethnicity,Black or African American,23.8,,,35.7,40.5,42,31.0,99125,40.6
Troy School District,2023-24,6,Ethnicity,Hispanic of Any Race,41.9,25.6,16.3,39.5,18.6,43,31.0,99125,40.6
Troy School District,2023-24,6,Ethnicity,Two or More Races,64.9,40.5,24.3,18.9,16.2,37,31.0,99125,40.6
Troy School District,2023-24,6,Ethnicity,White,56.7,27.9,28.8,25.7,17.6,448,31.0,99125,40.6
Troy School District,2023-24,6,Econ Disadvantaged,Economically Disadvantaged,32.7,16.0,16.7,30.7,36.7,150,31.0,99125,40.6
Troy School District,2023-24,6,Econ Disadvantaged,Not Economically Disadvantaged,72.4,47.6,24.9,17.9,9.6,820,31.0,99125,40.6
Troy School District,2023-24,6,SPED,Students With Disabilities,18.5,7.7,10.8,23.1,58.5,65,31.0,99125,40.6
Troy School District,2023-24,6,SPED,Students Without Disabilities,69.7,45.2,24.5,19.7,10.6,905,31.0,99125,40.6
Troy School District,2023-24,7,All Students,All Students,66.0,43.8,22.2,18.2,15.8,973,32.1,99967,41.2
Troy School District,2023-24,7,Ethnicity,Asian,87.3,68.3,19.0,8.7,4.0,378,32.1,99967,41.2
Troy School District,2023-24,7,Ethnicity,Black or African American,27.1,13.6,13.6,10.2,62.7,59,32.1,99967,41.2
Troy School District,2023-24,7,Ethnicity,Hispanic of Any Race,39.6,20.8,18.9,39.6,20.8,53,32.1,99967,41.2
Troy School District,2023-24,7,Ethnicity,Two or More Races,48.8,24.4,24.4,29.3,22.0,41,32.1,99967,41.2
Troy School District,2023-24,7,Ethnicity,White,57.3,31.1,26.3,24.0,18.7,438,32.1,99967,41.2
Troy School District,2023-24,7,Econ Disadvantaged,Economically Disadvantaged,34.2,15.1,19.2,29.5,36.3,146,32.1,99967,41.2
Troy School District,2023-24,7,Econ Disadvantaged,Not Economically Disadvantaged,71.6,48.9,22.7,16.2,12.2,827,32.1,99967,41.2
Troy School District,2023-24,7,SPED,Students With Disabilities,18.2,,,,,55,32.1,99967,41.2
Troy School District,2023-24,7,SPED,Students Without Disabilities,68.8,45.8,23.1,18.7,12.4,918,32.1,99967,41.2
Troy School District,2024-25,6,All Students,All Students,65.8,44.8,20.9,20.1,14.2,932,31.5,99480,41.9
Troy School District,2024-25,6,Ethnicity,Asian,81.4,68.3,13.1,12.6,5.9,404,31.5,99480,41.9
Troy School District,2024-25,6,Ethnicity,Black or African American,16.7,,,27.8,55.6,54,31.5,99480,41.9
Troy School District,2024-25,6,Ethnicity,Hispanic of Any Race,50.8,28.8,22.0,22.0,27.1,59,31.5,99480,41.9
Troy School District,2024-25,6,Ethnicity,Two or More Races,57.6,33.3,24.2,30.3,12.1,33,31.5,99480,41.9
Troy School District,2024-25,6,Ethnicity,White,59.1,29.7,29.4,25.7,15.2,381,31.5,99480,41.9
Troy School District,2024-25,6,Econ Disadvantaged,Economically Disadvantaged,38.8,17.0,21.8,28.6,32.7,147,31.5,99480,41.9
Troy School District,2024-25,6,Econ Disadvantaged,Not Economically Disadvantaged,70.8,50.1,20.8,18.5,10.7,785,31.5,99480,41.9
Troy School District,2024-25,6,SPED,Students With Disabilities,23.2,7.3,15.9,24.4,52.4,82,31.5,99480,41.9
Troy School District,2024-25,6,SPED,Students Without Disabilities,69.9,48.5,21.4,19.6,10.5,850,31.5,99480,41.9
Troy School District,2024-25,7,All Students,All Students,68.4,46.4,22.0,18.2,13.4,990,33.3,99590,43.1
Troy School District,2024-25,7,Ethnicity,Asian,86.5,68.3,18.2,10.3,3.2,407,33.3,99590,43.1
Troy School District,2024-25,7,Ethnicity,Black or African American,27.9,11.6,16.3,27.9,44.2,43,33.3,99590,43.1
Troy School District,2024-25,7,Ethnicity,Hispanic of Any Race,44.4,26.7,17.8,26.7,28.9,45,33.3,99590,43.1
Troy School District,2024-25,7,Ethnicity,Two or More Races,65.0,47.5,17.5,15.0,20.0,40,33.3,99590,43.1
Troy School District,2024-25,7,Ethnicity,White,58.7,31.8,26.9,23.6,17.7,453,33.3,99590,43.1
Troy School District,2024-25,7,Econ Disadvantaged,Economically Disadvantaged,37.6,20.8,16.8,26.4,36.0,125,33.3,99590,43.1
Troy School District,2024-25,7,Econ Disadvantaged,Not Economically Disadvantaged,72.8,50.1,22.8,17.0,10.2,865,33.3,99590,43.1
Troy School District,2024-25,7,SPED,Students With Disabilities,22.4,7.5,14.9,11.9,65.7,67,33.3,99590,43.1
Troy School District,2024-25,7,SPED,Students Without Disabilities,71.7,49.2,22.5,18.6,9.6,923,33.3,99590,43.1
Birmingham Public Schools,2018-19,6,All Students,All Students,67.7,40.1,27.7,22.1,10.2,629,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Ethnicity,Asian,,,,,,23,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Ethnicity,Black or African American,29.7,13.5,16.2,39.2,31.1,74,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Ethnicity,Two or More Races,61.9,40.5,21.4,26.2,11.9,42,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Ethnicity,White,73.4,42.9,30.5,19.4,7.2,485,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Econ Disadvantaged,Economically Disadvantaged,50.0,11.7,38.3,33.3,16.7,60,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,Econ Disadvantaged,Not Economically Disadvantaged,69.6,43.1,26.5,20.9,9.5,569,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,SPED,Students With Disabilities,26.0,,,26.0,48.0,50,35.1,109108,47.4
Birmingham Public Schools,2018-19,6,SPED,Students Without Disabilities,71.3,41.8,29.5,21.8,6.9,579,35.1,109108,47.4
Birmingham Public Schools,2018-19,7,All Students,All Students,64.1,36.1,27.9,25.2,10.8,612,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Ethnicity,Asian,69.0,,,,,29,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Ethnicity,Black or African American,25.4,10.4,14.9,43.3,31.3,67,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Ethnicity,Two or More Races,60.7,32.1,28.6,,,28,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Ethnicity,White,69.4,38.8,30.6,22.5,8.1,484,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Econ Disadvantaged,Economically Disadvantaged,31.5,9.6,21.9,38.4,30.1,73,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,Econ Disadvantaged,Not Economically Disadvantaged,68.5,39.7,28.8,23.4,8.2,539,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,SPED,Students With Disabilities,28.0,14.0,14.0,22.0,50.0,50,35.7,109072,45.9
Birmingham Public Schools,2018-19,7,SPED,Students Without Disabilities,67.3,38.1,29.2,25.4,7.3,562,35.7,109072,45.9
Birmingham Public Schools,2022-23,6,All Students,All Students,67.2,41.5,25.8,20.1,12.7,528,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Ethnicity,Asian,,,,,,19,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Ethnicity,Black or African American,34.6,15.4,19.2,36.5,28.8,52,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Ethnicity,Hispanic of Any Race,,,,,,13,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Ethnicity,Two or More Races,67.6,52.9,14.7,20.6,11.8,34,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Ethnicity,White,71.3,43.1,28.2,18.1,10.5,408,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Econ Disadvantaged,Economically Disadvantaged,33.3,13.0,20.4,31.5,35.2,54,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,Econ Disadvantaged,Not Economically Disadvantaged,71.1,44.7,26.4,18.8,10.1,474,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,SPED,Students With Disabilities,16.7,,,22.2,61.1,36,29.6,99287,38.6
Birmingham Public Schools,2022-23,6,SPED,Students Without Disabilities,70.9,44.1,26.8,19.9,9.1,492,29.6,99287,38.6
Birmingham Public Schools,2022-23,7,All Students,All Students,64.6,36.1,28.5,22.4,13.0,477,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Ethnicity,Asian,,,,,,11,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Ethnicity,Black or African American,21.2,10.6,10.6,28.8,50.0,66,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Ethnicity,Hispanic of Any Race,,,,,,13,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Ethnicity,Two or More Races,66.7,33.3,33.3,,,27,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Ethnicity,White,72.1,39.6,32.6,21.4,6.4,359,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Econ Disadvantaged,Economically Disadvantaged,25.5,14.9,10.6,25.5,48.9,47,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,Econ Disadvantaged,Not Economically Disadvantaged,68.8,38.4,30.5,22.1,9.1,430,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,SPED,Students With Disabilities,26.4,15.1,11.3,22.6,50.9,53,31.0,98379,39.7
Birmingham Public Schools,2022-23,7,SPED,Students Without Disabilities,69.3,38.7,30.7,22.4,8.3,424,31.0,98379,39.7
Birmingham Public Schools,2023-24,6,All Students,All Students,75.0,47.4,27.7,16.2,8.7,517,31.0,99125,40.6
Birmingham Public Schools,2023-24,6,Ethnicity,Asian,,,,,,19,31.0,99125,40.6
Birmingham Public Schools,2023-24,6,Ethnicity,Black or African American,45.1,21.6,23.5,27.5,27.5,51,31.0,99125,40.6
