sid,name,state,pre_avg,post_avg,delta,im_delta,pre_n_avg,asn_share,asn_pre,asn_post,asn_delta
3404500,Edison Township School District,NJ,0.9028566785949175,0.22272656133618962,-0.6801301172587279,-0.08623495244251272,1267.1666666666667,0.6544412607449857,1.417002402255563,0.7202305129108545,-0.6967718893447085
4815210,Coppell ISD,TX,0.8964102072011647,0.25413179177445766,-0.642278415426707,-0.125317888902066,666.0,0.2986111111111111,1.3947047236072008,0.6185393755434381,-0.7761653480637627
4210870,Great Valley SD,PA,0.9915755918350362,0.4327111642946474,-0.5588644275403888,-0.07516123731898827,329.1666666666667,0.19325153374233128,1.6534338040646699,1.0331929653404825,-0.6202408387241873
3405190,Flemington-Raritan Regional School District,NJ,0.9079314606575076,0.36527407471559625,-0.5426573859419114,0.029203768031058175,375.1666666666667,0.10501981505944517,1.4818166723095947,1.0679551842958237,-0.413861488013771
4836000,Prosper ISD,TX,0.9217676781349372,0.4097570568051865,-0.5120106213297507,0.07978201260560308,987.3333333333334,0.09146056929538031,1.4747366315038952,1.0410887683442613,-0.4336478631596339
2714220,Eden Prairie Public School District,MN,0.7537832778180893,0.2553939860327896,-0.49838929178529967,0.14160538666209696,645.6666666666666,0.13780918727915195,1.4069370301223303,1.187112091275908,-0.21982493884642218
2703060,Alexandria Public School District,MN,0.7594909027216787,0.28396045220221877,-0.47553045051945997,0.06990507561706569,321.0,0.0,,,
4203960,Boyertown Area SD,PA,0.7758315328431907,0.31786916689961925,-0.4579623659435715,0.06645240787972784,550.5,0.0,,,
1915450,Johnston Community School District,IA,0.7755074528402529,0.32403795798281915,-0.45146949485743376,-0.13555722533645004,548.1666666666666,0.07361682670324646,1.3151750670023536,0.6476961913951694,-0.6674788756071842
3904615,Talawanda City,OH,0.7360459603937569,0.28974367118922156,-0.44630228920453535,0.14825328729023726,224.0,0.0,,,
2722950,Mounds View Public School District,MN,0.7613049687710638,0.32251835892634123,-0.43878660984472256,0.0979671675835091,858.0,0.11693198263386397,1.3025959309134254,0.7255824672658505,-0.5770134636475749
3410980,Mount Olive Township School District,NJ,0.7606774595586949,0.3303564295304218,-0.4303210300282731,-0.04821779886667632,349.6666666666667,0.14091559370529327,1.432998663570008,0.9711479161643081,-0.4618507474057
2507410,Masconomet,MA,0.9085321779205636,0.48207472108225613,-0.4264574568383075,-0.20889805976236103,315.0,0.0,,,
3402280,Bridgewater-Raritan Regional School District,NJ,0.7185294872520748,0.29758346120804313,-0.42094602604403164,-0.03823882048536764,668.8333333333334,0.31,1.45254411110074,0.8683826743828835,-0.5841614367178565
2508310,Nashoba,MA,0.9144679268306066,0.4968599633319883,-0.41760796349861834,0.03704211457349477,260.1666666666667,0.0,,,
2703870,Becker Public School District,MN,0.7151677413448551,0.2987447062641939,-0.41642303508066114,0.06503917533729064,225.66666666666666,0.0,,,
2507140,Lynnfield,MA,0.86714824467415,0.4654185675013155,-0.4017296771728345,0.025687374610104396,168.16666666666666,0.0,,,
2509150,Old Rochester,MA,0.7240120148069414,0.3237489163315655,-0.40026309847537594,-0.12412555083538146,225.0,0.0,,,
4215720,Montour SD,PA,0.9276040125089505,0.5298579752042192,-0.39774603730473135,-0.04988954445376581,198.2,0.0,,,
2717780,Lakeville Area Schools,MN,0.6878163536077128,0.29093847170854703,-0.39687788189916573,0.09865466349429769,879.5,0.050280898876404495,0.8359461024544034,0.6881232277211011,-0.14782287473330225
4222620,Springfield Township SD,PA,0.7263565276172482,0.33792402892337425,-0.388432498693874,0.21017780158772004,184.25,0.0,,,
5309180,University Place School District,WA,0.91333784961858,0.5268007131225131,-0.3865371364960669,0.020978306143179415,423.4,0.09898020395920816,1.274317630827109,1.108481432591286,-0.16583619823582296
2730060,Prior Lake-Savage Area Schools,MN,0.8395679384392536,0.4619260811560203,-0.3776418572832333,-0.06964471183557114,658.8333333333334,0.06112560566530004,1.102598892047283,0.7878963459436621,-0.3147025461036208
3402160,Branchburg Township School District,NJ,0.748390494249025,0.37162113644620576,-0.3767693578028193,-0.1775751922233234,157.0,0.0,,1.214946265639751,
2632850,St. Joseph Public Schools,MI,0.6960304696961132,0.321879338176187,-0.37415113151992613,-0.04740680259734242,227.5,0.0,,,
2909720,Clayton,MO,0.9607816773250178,0.5946011464466644,-0.36618053087835345,0.016715694679772963,219.83333333333334,0.11883408071748879,1.7615032908872548,1.5782148225693422,-0.18328846831791257
4202790,Avon Grove SD,PA,0.6874929933220665,0.32561851357082167,-0.3618744797512448,-0.013338336635326964,400.8333333333333,0.0,,,
2507590,Medway,MA,0.7699908120404287,0.41230174378541196,-0.3576890682550168,0.16283126372511003,173.0,0.0,,,
2917820,Ladue,MO,0.8838189378502852,0.530833521277381,-0.35298541657290416,0.06161319759403028,326.8333333333333,0.16795665634674922,1.9640289166711717,1.3807937656818934,-0.5832351509892784
2506990,Longmeadow,MA,0.9909587647061695,0.6445449392992916,-0.34641382540687793,0.13845596565570284,219.66666666666666,0.11251435132032148,1.7570089896702323,1.3173864845476289,-0.4396225051226035
4807780,Aledo ISD,TX,0.8312901807481764,0.49068627299156276,-0.34060390775661364,0.05053942134026612,462.0,0.0,,,
3904812,Avon Lake City,OH,1.078657264541836,0.7484101255403128,-0.33024713900152314,0.1664809926225398,304.3333333333333,0.0,,,
3910029,Wadsworth City,OH,0.741291947070342,0.41465892998641846,-0.3266330170839235,0.0283154426674318,358.0,0.0,,,
2507350,Marshfield,MA,0.7722280065199564,0.44879587953846356,-0.3234321269814928,-0.043748399152875206,320.3333333333333,0.0,,,
2503510,Chelmsford,MA,0.8512751086522252,0.5281087613724584,-0.3231663472797668,0.17732467343338426,378.8333333333333,0.14616402116402116,1.6180677390474443,1.3214822572747276,-0.2965854817727167
3904657,Olmsted Falls City,OH,0.7399013052968527,0.4241834421215775,-0.3157178631752752,0.04307528097456026,291.0,0.0,,,
4205310,Central Bucks SD,PA,0.7861019136320312,0.4716319773264601,-0.3144699363055711,0.12515708845079104,1450.5,0.08528078130449948,1.451590028874714,1.1127372880065785,-0.33885274086813544
4224210,Unionville-Chadds Ford SD,PA,0.9930462026626099,0.679767841324495,-0.31327836133811493,0.19802590589761893,320.5,0.1664050235478807,1.6438757094910257,1.564073210363051,-0.07980249912797466
2505010,Franklin,MA,0.7278854859401335,0.42063939196958167,-0.3072460939705518,0.030872482461548056,436.5,0.056140350877192984,1.74532715491064,1.2840077449413696,-0.46131940996927034
3414670,Scotch Plains-Fanwood School District,NJ,0.8162106186396993,0.5099029319942079,-0.30630768664549146,0.08754903426223426,430.8333333333333,0.11683053788316947,1.383071980305716,1.1523809199105273,-0.23069106039518883
1721030,Kildeer Countryside CCSD 96,IL,1.169934259879733,0.8668530779578117,-0.30308118192192135,-0.02577996681549033,392.6666666666667,0.33290570878768444,1.7972440555657097,1.3338098805312273,-0.46343417503448237
3407530,Hopewell Valley Regional School District,NJ,0.6985320599232635,0.3991436364428999,-0.2993884234803636,0.0920610814260357,254.0,0.14173228346456693,1.347217705482642,0.9172564719881052,-0.42996123349453674
4807890,Allen ISD,TX,1.1225243142474568,0.8239849789410238,-0.29853933530643295,0.07368003942998624,1707.0,0.2123867952088811,1.8146406249490836,1.5730180688582804,-0.2416225560908032
4218270,Owen J Roberts SD,PA,0.8727597138390845,0.5744150468176054,-0.2983446670214791,-0.03924559697339958,429.1666666666667,0.0,,1.7340522962128024,
3409330,Mahwah Township Public School District,NJ,0.6945928115233158,0.39855334816485555,-0.2960394633584602,0.06048617393771183,216.4,0.15146831530139104,1.3757436147500481,1.2005489194187433,-0.17519469533130483
1724000,Maercker SD 60,IL,0.7653755320018029,0.47274376678144786,-0.292631765220355,0.08739331680610107,154.0,0.2127329192546584,1.4708103928225709,1.038650294157602,-0.43216009866496896
3418360,Wyckoff Township Public School District,NJ,0.8515042919658756,0.5600278443341963,-0.29147644763167935,0.06964615609749991,235.66666666666666,0.0,,,
2733790,St. Michael-Albertville Schools,MN,0.6879300028170715,0.39688705266635355,-0.29104295015071796,0.06322666148633721,506.5,0.0,,,
2510620,Sharon,MA,1.173777169387136,0.8827513354458679,-0.291025833941268,0.07781200132460564,280.8333333333333,0.290437890974084,1.8822835915007967,1.6091045116472833,-0.2731790798535134
602970,Arcadia Unified,CA,1.002981987317592,0.7180562238326625,-0.2849257634849295,-0.07376523399310009,757.0,0.694326008527386,1.300661363496258,1.064643198253891,-0.23601816524236696
2711370,Elk River Public School District,MN,0.6975508851827698,0.41612059874106283,-0.2814302864417069,0.07802055718787576,1031.1666666666667,0.02703355056722182,0.5278072977031605,0.2523717937786927,-0.2754355039244678
2507530,Medfield,MA,0.9828073969771433,0.7017240209880308,-0.2810833759891125,0.0814793020851029,202.83333333333334,0.0,,,
2511880,Wachusett,MA,0.8043149938182946,0.5330847970844715,-0.2712301967338231,0.07721787812417741,597.3333333333334,0.018695471541337765,1.4829904135497496,,
2718750,Mahtomedi Public School District,MN,0.9795476008305987,0.7094368427167212,-0.2701107581138774,0.01324070317774273,268.6666666666667,0.0,,,
3905045,Mason City,OH,1.0645596561200605,0.7947560140828214,-0.26980364203723917,0.2193511932421851,815.6666666666666,0.2586943258084198,1.5971803871224093,1.3156367080941511,-0.28154367902825816
1734740,Schaumburg CCSD 54,IL,0.7442094711526274,0.4768703643156771,-0.2673391068369503,-0.025399441991280747,1580.0,0.2300647402494868,1.3753710308449474,1.0919946793100914,-0.28337635153485596
4211400,Hampton Township SD,PA,0.8283949002458874,0.5610833474527899,-0.2673115527930975,0.08877706870968938,217.83333333333334,0.0,,,
400878,BASIS Charter Schools Inc. (91309),AZ,1.1639449746441473,0.9017543175572439,-0.26219065708690337,0.20494533296860507,154.33333333333334,0.23304347826086957,1.449015485076871,1.3636626252695714,-0.08535285980729967
3904458,Oakwood City,OH,0.938261781808785,0.6762832974012813,-0.2619784844075036,-0.10501767654669691,157.0,0.0,,,
4801405,Harmony Public Schools-Houston West,TX,0.9144583245073221,0.6536317603590875,-0.2608265641482346,0.0015981275016173635,303.6666666666667,0.31811023622047246,1.4447085566536364,1.0248266923212386,-0.4198818643323978
625740,Moraga Elementary,CA,1.002334195611691,0.7415328787507445,-0.26080131686094643,-0.01548713285193648,214.0,0.16004672897196262,1.5729278655163943,1.217966146347575,-0.35496171916881925
2916770,Kirkwood R-VII,MO,0.703713415444593,0.44343472281192275,-0.2602786926326702,-0.0031958042307783097,450.5,0.0,,,
2612030,Dexter Community School District,MI,0.7830010372633193,0.525396911881819,-0.25760412538150024,0.009562386473945472,283.1666666666667,0.0,,,
3700720,Chapel Hill-Carrboro City Schools,NC,0.7252686463715924,0.4719672790750817,-0.2533013672965107,0.10025412304953041,952.0,0.14092071611253196,1.4366672877947069,1.2291760285544746,-0.20749125924023226
4222350,Southern Lehigh SD,PA,0.8440071703187179,0.5915170285543102,-0.25249014176440765,0.18216539363265494,250.5,0.020263424518743668,,1.448236141489347,
3406900,Harrison Township School District,NJ,0.7719072188511839,0.5194287036609628,-0.252478515190221,0.18426954730798106,209.66666666666666,0.0,,,
3404110,East Brunswick Township School District,NJ,0.8077873365604988,0.5596912204981445,-0.24809611606235438,0.09746543339662939,607.8333333333334,0.3619281045751634,1.467216612663222,1.2018676535449224,-0.2653489591182996
